2026-05-19 19:05:19 | WARNING  | document.parser | PaddleOCR 第14页失败: (Unimplemented) ConvertPirAttribute2RuntimeAttribute not support [pir::ArrayAttribute<pir::DoubleAttribute>]  (at ..\paddle\fluid\framework\new_executor\instruction\onednn\onednn_instruction.cc:118)

2026-05-19 19:05:22 | WARNING  | document.parser | PaddleOCR 第15页失败: (Unimplemented) ConvertPirAttribute2RuntimeAttribute not support [pir::ArrayAttribute<pir::DoubleAttribute>]  (at ..\paddle\fluid\framework\new_executor\instruction\onednn\onednn_instruction.cc:118)

2026-05-19 19:05:25 | WARNING  | document.parser | PaddleOCR 第16页失败: (Unimplemented) ConvertPirAttribute2RuntimeAttribute not support [pir::ArrayAttribute<pir::DoubleAttribute>]  (at ..\paddle\fluid\framework\new_executor\instruction\onednn\onednn_instruction.cc:118)

2026-05-19 19:05:28 | WARNING  | document.parser | PaddleOCR 第17页失败: (Unimplemented) ConvertPirAttribute2RuntimeAttribute not support [pir::ArrayAttribute<pir::DoubleAttribute>]  (at ..\paddle\fluid\framework\new_executor\instruction\onednn\onednn_instruction.cc:118)

2026-05-19 19:05:31 | WARNING  | document.parser | PaddleOCR 第18页失败: (Unimplemented) ConvertPirAttribute2RuntimeAttribute not support [pir::ArrayAttribute<pir::DoubleAttribute>]  (at ..\paddle\fluid\framework\new_executor\instruction\onednn\onednn_instruction.cc:118)

2026-05-19 19:05:34 | WARNING  | document.parser | PaddleOCR 第19页失败: (Unimplemented) ConvertPirAttribute2RuntimeAttribute not support [pir::ArrayAttribute<pir::DoubleAttribute>]  (at ..\paddle\fluid\framework\new_executor\instruction\onednn\onednn_instruction.cc:118)

2026-05-19 19:05:37 | WARNING  | document.parser | PaddleOCR 第20页失败: (Unimplemented) ConvertPirAttribute2RuntimeAttribute not support [pir::ArrayAttribute<pir::DoubleAttribute>]  (at ..\paddle\fluid\framework\new_executor\instruction\onednn\onednn_instruction.cc:118)

2026-05-19 19:05:40 | WARNING  | document.parser | PaddleOCR 第21页失败: (Unimplemented) ConvertPirAttribute2RuntimeAttribute not support [pir::ArrayAttribute<pir::DoubleAttribute>]  (at ..\paddle\fluid\framework\new_executor\instruction\onednn\onednn_instruction.cc:118)

2026-05-19 19:05:43 | WARNING  | document.parser | PaddleOCR 第22页失败: (Unimplemented) ConvertPirAttribute2RuntimeAttribute not support [pir::ArrayAttribute<pir::DoubleAttribute>]  (at ..\paddle\fluid\framework\new_executor\instruction\onednn\onednn_instruction.cc:118)

2026-05-19 19:05:46 | WARNING  | document.parser | PaddleOCR 第23页失败: (Unimplemented) ConvertPirAttribute2RuntimeAttribute not support [pir::ArrayAttribute<pir::DoubleAttribute>]  (at ..\paddle\fluid\framework\new_executor\instruction\onednn\onednn_instruction.cc:118)

2026-05-19 19:05:50 | WARNING  | document.parser | PaddleOCR 第24页失败: (Unimplemented) ConvertPirAttribute2RuntimeAttribute not support [pir::ArrayAttribute<pir::DoubleAttribute>]  (at ..\paddle\fluid\framework\new_executor\instruction\onednn\onednn_instruction.cc:118)

2026-05-19 19:09:19 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779188959_GJB.docx
2026-05-19 19:09:19 | INFO     | document.cleaner | 文本清洗完成，长度: 3342 字符
2026-05-19 19:09:23 | INFO     | document.parser | 检测到扫描版PDF (平均0字/页)，切换OCR
2026-05-19 19:09:24 | INFO     | document.parser | Tesseract OCR 就绪
2026-05-19 19:14:22 | INFO     | document.parser | OCR完成: 24页, 37360字
2026-05-19 19:14:22 | INFO     | document.cleaner | 文本清洗完成，长度: 37288 字符
2026-05-19 19:14:22 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779189262_HJB.docx
2026-05-19 19:14:22 | INFO     | document.cleaner | 文本清洗完成，长度: 2841 字符
2026-05-19 19:21:02 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779189661_GJB.docx
2026-05-19 19:21:02 | INFO     | document.cleaner | 文本清洗完成，长度: 3342 字符
2026-05-19 19:21:06 | INFO     | document.parser | 检测到扫描版PDF (平均0字/页)，切换OCR
2026-05-19 19:21:07 | INFO     | document.parser | Tesseract OCR 就绪
2026-05-19 19:21:34 | INFO     | document.parser | OCR完成: 24页, 38590字
2026-05-19 19:21:34 | INFO     | document.cleaner | 文本清洗完成，长度: 38202 字符
2026-05-19 19:21:34 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779189694_HJB.docx
2026-05-19 19:21:34 | INFO     | document.cleaner | 文本清洗完成，长度: 2841 字符
2026-05-19 19:21:43 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779189661_GJB.docx
2026-05-19 19:21:43 | INFO     | document.cleaner | 文本清洗完成，长度: 3342 字符
2026-05-19 19:21:43 | INFO     | database.operations | 文档已入库: ID=1, 名称=军用软件质量监督要求
2026-05-19 19:21:43 | INFO     | document.chunker | 章节切分: 1个章节
2026-05-19 19:21:43 | INFO     | document.chunker | 文本分块完成: 5个块
2026-05-19 19:22:00 | INFO     | embeddings.embedder | 正在加载嵌入模型: BAAI/bge-base-zh-v1.5 (镜像: https://hf-mirror.com)
2026-05-19 19:22:11 | INFO     | embeddings.embedder | 嵌入模型加载完成，维度: 768
2026-05-19 19:22:13 | INFO     | embeddings.embedder | 批量嵌入完成: 5个文本 → 5个向量
2026-05-19 19:22:13 | INFO     | document.parser | 检测到扫描版PDF (平均0字/页)，切换OCR
2026-05-19 19:22:40 | INFO     | document.parser | OCR完成: 24页, 38590字
2026-05-19 19:22:40 | INFO     | document.cleaner | 文本清洗完成，长度: 38202 字符
